"Sym_A","Sym_B","PPI score"
"RABAC1","SNCA","1.0000"
"RABAC1","SNX15","1.0000"
"HLA-DQA1","SH3GL2","1.0000"
"RBP4","TTR","1.0000"
"CNKSR2","LRRC7","1.0000"
"MYCBP","MYC","1.0000"
"CCNA1","CDK1","1.0000"
"NCF1","NCF2","1.0000"
"PKMYT1","STEAP3","1.0000"
"RABAC1","VAMP2","1.0000"
"RABAC1","VIM","1.0000"
"NCF1","SYN1","1.0000"
"EBI3","MDFI","1.0000"
"CCNA1","RBM4","1.0000"
"CCNA1","CDT1","1.0000"
"COL7A1","FN1","1.0000"
"SNAP25","SRCIN1","1.0000"
"AR","TGFB1I1","1.0000"
"SNAP25","STX1A","1.0000"
"ERC2","PPFIA4","1.0000"
"ERC2","RIMS1","1.0000"
"AR","TGIF1","1.0000"
"LAIR1","PTPN6","1.0000"
"AR","CALR","1.0000"
"ERC2","PPFIA2","1.0000"
"AR","EGFR","1.0000"
"PRRT2","SNAP25","1.0000"
"HLA-A","B2M","1.0000"
"ERC2","PCLO","1.0000"
"ERC2","PPFIA3","1.0000"
"CENPA","HJURP","1.0000"
"MED17","TP53","1.0000"
"CCNB1","CDT1","1.0000"
"RIMS1","SYT1","1.0000"
"SYT9","TRPV1","1.0000"
"CCNB1","CDK1","1.0000"
"FGF9","FGFR3","1.0000"
"RIMS1","SNAP25","1.0000"
"CCNB1","CKS2","1.0000"
"L3MBTL1","TP53","1.0000"
"PLK1","PSMA2","1.0000"
"MAPK8IP3","KLC1","1.0000"
"PLK1","PRC1","1.0000"
"CAMK2B","GRIN2A","1.0000"
"PTK2B","PITPNM3","1.0000"
"CPLX1","SNAP25","1.0000"
"PLK1","TUBA4A","1.0000"
"PTK2B","TGFB1I1","1.0000"
"PSMA1","VIM","1.0000"
"PSMA1","PSMA2","1.0000"
"ADAP1","PRKCZ","1.0000"
"FCER1G","FCGR3A","1.0000"
"PSMA1","PSMB10","1.0000"
"CCL3","CCR5","1.0000"
"CPLX1","STX1A","1.0000"
"ABI3","KIAA0408","1.0000"
"NOS1AP","NOS1","1.0000"
"NOS1AP","SYN1","1.0000"
"MKI67","KIF15","1.0000"
"DLG4","KCNA2","1.0000"
"AQP1","CCDC85B","1.0000"
"DLG4","KCNJ4","1.0000"
"TP53","TWIST1","1.0000"
"MCM2","MCM5","1.0000"
"DLG4","KCNJ12","1.0000"
"TP53","SOX4","1.0000"
"KIAA0408","VIM","1.0000"
"PSMA2","PSMA6","1.0000"
"PRKCG","GRIN1","1.0000"
"CDK2","ID3","1.0000"
"CAMK1","CAMKK2","1.0000"
"CDK2","CDT1","1.0000"
"CDK2","CDKN3","1.0000"
"KIAA0408","MDFI","1.0000"
"FANCD2","PCNA","1.0000"
"BEGAIN","KIAA0408","1.0000"
"CDK2","FOXM1","1.0000"
"APBA1","CNTNAP4","1.0000"
"MEOX2","VIP","1.0000"
"NECAB2","PSMA1","1.0000"
"FANCD2","FANCI","1.0000"
"APBA1","KCNJ12","1.0000"
"CCDC85B","EZH2","1.0000"
"NUF2","ZWINT","1.0000"
"CCDC85B","TNNT1","1.0000"
"ANK1","OBSCN","1.0000"
"FCGR2A","SYK","1.0000"
"AURKB","CDCA8","1.0000"
"ANK1","CD44","1.0000"
"CD63","HLA-DRA","1.0000"
"CCDC85B","PLOD3","1.0000"
"AURKB","NUF2","1.0000"
"AURKB","BIRC5","1.0000"
"CD4","CXCR4","1.0000"
"CDK4","CDKN1A","1.0000"
"CCDC85B","KIAA0408","1.0000"
"CCDC85B","PRC1","1.0000"
"GNAO1","RGS4","1.0000"
"PDLIM1","VIM","1.0000"
"GNAO1","NGB","1.0000"
"CCDC85B","CDKN1A","1.0000"
"CCDC85B","PSMA1","1.0000"
"AURKB","NDC80","1.0000"
"CAPN3","NECAB2","1.0000"
"CNN3","LCP1","1.0000"
"KIF15","VIM","1.0000"
"CDT1","PCNA","1.0000"
"CDT1","ORC1","1.0000"
"MTUS2","PLK4","1.0000"
"CDT1","HDAC11","1.0000"
"SLC25A10","MDFI","1.0000"
"TREM1","TYROBP","1.0000"
"CCNB2","CDK3","1.0000"
"SYN1","VIM","1.0000"
"CDT1","TOP2A","1.0000"
"ACTA1","PRKCE","1.0000"
"CCNB2","CDK1","1.0000"
"CRIP1","GPRASP1","1.0000"
"CDK1","CDKN3","1.0000"
"DAB1","PCDH18","1.0000"
"NPY1R","NPY","1.0000"
"AGAP2","EPB41L1","1.0000"
"FN1","ITGA4","1.0000"
"CDK1","RRM2","1.0000"
"CDK1","LMNB1","1.0000"
"CDK1","TOP2A","1.0000"
"KCNA2","KCNA5","1.0000"
"CDK1","FOXM1","1.0000"
"FN1","PKD1","1.0000"
"CDK1","CDC25A","1.0000"
"CDK1","CDT1","1.0000"
"DLG2","KCNJ12","1.0000"
"CDK1","PCNA","1.0000"
"CDK1","CDKN1A","1.0000"
"CDK1","PKMYT1","1.0000"
"CDK1","CDC25C","1.0000"
"CDK1","KIF11","1.0000"
"CDK1","WEE1","1.0000"
"CDK1","EZH2","1.0000"
"CDK1","CKS2","1.0000"
"FN1","ITGA5","1.0000"
"BUB1","CDK1","1.0000"
"CBX2","MDFI","1.0000"
"NDC80","SKA1","1.0000"
"NDC80","SPC24","1.0000"
"CABP1","ITPR1","1.0000"
"MYC","TUBA4A","1.0000"
"CCL5","CCR1","1.0000"
"CABP1","CACNA1A","1.0000"
"ANXA3","TP53","1.0000"
"INA","GRIN1","1.0000"
"NDC80","NUF2","1.0000"
"CCR5","CXCR4","1.0000"
"IFNAR2","IRF9","1.0000"
"BUB1","ZWINT","1.0000"
"GRN","SLPI","1.0000"
"PRKCB","GRIN1","1.0000"
"NDC80","NEK2","1.0000"
"CCL5","CCR5","1.0000"
"BUB1","NDC80","1.0000"
"NDC80","SPC25","1.0000"
"BUB1","SPC25","1.0000"
"STX1A","VIM","1.0000"
"BUB1","NUF2","1.0000"
"BUB1","SPC24","1.0000"
"MYC","NMI","1.0000"
"CABP1","CACNA1C","1.0000"
"NDC80","ZWINT","1.0000"
"CNKSR1","RALGDS","1.0000"
"CDC45","ORC1","1.0000"
"CDC20","UBE2C","1.0000"
"CIT","GRIN1","1.0000"
"CDC45","CDKN1A","1.0000"
"CDC20","MAD2L1","1.0000"
"CDC45","MCM5","1.0000"
"CDC45","MCM2","1.0000"
"RUNX1T1","NECAB2","1.0000"
"CCNO","PCNA","1.0000"
"TRIP13","PLSCR3","1.0000"
"BIRC5","CDK1","1.0000"
"CPNE6","AK5","1.0000"
"BIRC5","DIABLO","1.0000"
"BIRC5","CDCA8","1.0000"
